gstreamer0.10-bad-plugins 0.10.23-20
gstreamer0.10-base 0.10.36-3
gstreamer0.10-base-plugins 0.10.36-3
gstreamer0.10-ffmpeg 0.10.13-2
gtk-engine-murrine 0.98.2-2
gtk-engines 2.21.0-3
gtk-sharp-2 2.12.42-1
gtk-update-icon-cache 3.22.7-1
gtk-xfce-engine 2.10.1-1
gtk2 2.24.31-1
gtk3 3.22.7-1
gtkmm 2.24.4-2
gtkmm3 3.22.0-1
gtksourceview2 2.10.5-3
gtksourceview3 3.22.2-1
gtkspell 2.0.16-3
guile 2.0.13-2
gvfs 1.30.3-1
gvfs-mtp 1.30.3-1
gvfs-smb 1.30.3-1
gzip 1.8-2
harfbuzz 1.4.1-1
harfbuzz-icu 1.4.1-1
hdf5 1.10.0_patch1-1
hdparm 9.50-1
heimdall 1.4.1-2
hicolor-icon-theme 0.15-1
hiera 3.2.2-2
hspell 1.3-1
htop 2.0.2-1
http-parser 2.7.1-1
hunspell 1.5.4-1
hwids 20161103-1
hyphen 2.8.8-1
iana-etc 20161101-1
icoutils 0.31.1-1
icu 58.2-1
idnkit 1.0-3
ilmbase 2.2.0-2
imagemagick 6.9.7.5-1
imake 1.0.7-1
imlib2 1.4.9-1
inetutils 1.9.4-5
iniparser 4.0-2
inputproto 2.3.2-1
intel-ucode 20161104-1
intltool 0.51.0-1
iproute2 4.9.0-1
iptables 1.6.0-1
iputils 20161105.1f2bb12-1
iso-codes 3.70-1
iw 4.9-1
jack 0.125.0-3
jansson 2.9-1
jasper 2.0.10-1
java-environment-common 2-2
java-runtime-common 2-2
jdk8-openjdk 8.u121-1
jemalloc 4.4.0-1
jfsutils 1.1.15-4
jre7-openjdk 7.u111_2.6.7-1
jre7-openjdk-headless 7.u111_2.6.7-1
jre8-openjdk 8.u121-1
jre8-openjdk-headless 8.u121-1
jruby 9.1.6.0-1
js17 17.0.0-4
json-c 0.12.1-1
json-glib 1.2.2+4+gd725fb5-1
jsoncpp 1.8.0-1
jzip 2.1-10
kactivities 5.30.0-1
karchive 5.30.0-1
kauth 5.30.0-1
kbd 2.0.3-1
kbookmarks 5.30.0-1
kbproto 1.0.7-1
kcmutils 5.30.0-1
kcodecs 5.30.0-1
kcompletion 5.30.0-1
kconfig 5.30.0-1
kconfigwidgets 5.30.0-1
kcontacts 16.12.1-1
kcoreaddons 5.30.1-1
kcrash 5.30.0-1
kdbusaddons 5.30.0-1
kdebase-runtime 16.12.1-2
kdeclarative 5.30.0-1
kded 5.30.0-1
kdegraphics-thumbnailers 16.12.1-1
kdelibs 4.14.28-1
kdelibs4support 5.30.0-1
kdenetwork-filesharing 16.12.1-1
kdesdk-thumbnailers 16.12.1-1
kdnssd 5.30.0-1
kemoticons 5.30.0-1
keyutils 1.5.9-1
kfilemetadata 5.30.0-1
kglobalaccel 5.30.0-1
kguiaddons 5.30.0-1
khtml 5.30.0-1
ki18n 5.30.0-1
kiconthemes 5.30.0-1
kidletime 5.30.0-1
kinit 5.30.0-1
kio 5.30.0-1
kio-extras 16.12.1-1
kitemmodels 5.30.0-1
kitemviews 5.30.0-1
kjobwidgets 5.30.0-1
kjs 5.30.0-1
kmime 16.12.1-1
kmod 23-1
knewstuff 5.30.1-1
knotifications 5.30.0-1
knotifyconfig 5.30.0-1
konsole 16.12.1-1
konsolepart4 4.14.3-8
kpackage 5.30.0-1
kparts 5.30.0-1
kpty 5.30.0-1
krb5 1.13.7-1
kservice 5.30.0-1
ktextwidgets 5.30.0-1
kuiserver 5.8.5-1
kunitconversion 5.30.0-1
kwallet 5.30.0-1
kwidgetsaddons 5.30.0-1
kwindowsystem 5.30.0-1
kxmlgui 5.30.0-1
ladspa 1.13-6
lame 3.99.5-3
lapack 3.7.0-1
lcms 1.19-5
lcms2 2.8-1
ldb 1.1.29-1
ldns 1.7.0-2
less 487-1
lib32-acl 2.2.52-2
lib32-alsa-lib 1.1.3-1
lib32-alsa-plugins 1.1.1-1
lib32-attr 2.4.47-1
lib32-bzip2 1.0.6-2
lib32-dbus 1.10.14-1
lib32-expat 2.2.0-1
lib32-flac 1.3.1-2
lib32-fontconfig 2.12.1-4
lib32-freetype2 2.7.1-1
lib32-gcc-libs 6.3.1-1
lib32-gettext 0.19.8.1-1
lib32-glib2 2.50.1-2
lib32-glibc 2.24-2
lib32-glu 9.0.0-3
lib32-harfbuzz 1.4.1-1
lib32-json-c 0.12.1-1
lib32-lcms2 2.8-1
lib32-libasyncns 0.8+3+g68cd5af-1
lib32-libcap 2.25-1
lib32-libdrm 2.4.74-1
lib32-libelf 0.168-1
lib32-libffi 3.2.1-1
lib32-libgcrypt 1.7.3-1
lib32-libgpg-error 1.24-1
lib32-libice 1.0.9-1
lib32-libjpeg-turbo 1.5.1-1
lib32-libjpeg6-turbo 1.5.1-1
lib32-libmng 2.0.3-1
lib32-libnl 3.2.29-1
lib32-libogg 1.3.2-1
lib32-libpcap 1.8.1-1
lib32-libpciaccess 0.13.4-1
lib32-libpng 1.6.27-1
lib32-libpng12 1.2.57-1
lib32-libpulse 10.0-1
lib32-libsm 1.2.2-1
lib32-libsndfile 1.0.27-1
lib32-libstdc++5 3.3.6-7
lib32-libtiff 4.0.7-1
lib32-libtxc_dxtn 1.0.1-5
lib32-libusb 1.0.21-1
lib32-libvorbis 1.3.5-1
lib32-libx11 1.6.4-1
lib32-libxau 1.0.8-1
lib32-libxcb 1.12-2
lib32-libxcomposite 0.4.4-2
lib32-libxcursor 1.1.14-1
lib32-libxdamage 1.1.4-2
lib32-libxdmcp 1.1.2-1
lib32-libxext 1.3.3-1
lib32-libxfixes 5.0.3-1
lib32-libxi 1.7.7-2
lib32-libxinerama 1.1.3-1
lib32-libxml2 2.9.3-1
lib32-libxrandr 1.5.1-1
lib32-libxrender 0.9.10-1
lib32-libxshmfence 1.2-1
lib32-libxss 1.2.2-2
lib32-libxtst 1.2.3-1
lib32-libxv 1.0.11-1
lib32-libxxf86vm 1.1.4-1
lib32-llvm-libs 3.9.1-2
lib32-mesa 13.0.3-1
lib32-mesa-libgl 13.0.3-1
lib32-ncurses 6.0-2
lib32-openal 1.17.2-1
lib32-openssl 1:1.0.2.j-1
lib32-pcre 8.39-1
lib32-qt4 4.8.7-6
lib32-readline 7.0-1
lib32-sdl 1.2.15-6
lib32-sqlite 3.16.2-1
lib32-systemd 232-1
lib32-util-linux 2.28.2-1
lib32-v4l-utils 1.10.1-1
lib32-wayland 1.12.0-1
lib32-xz 5.2.3-1
lib32-zlib 1.2.11-1
libabw 0.1.1-2
libaio 0.3.110-1
libao 1.2.0-1
libappindicator-gtk3 12.10.0-12
libarchive 3.2.2-2
libart-lgpl 2.3.21-3
libass 0.13.4-1
libassuan 2.4.3-1
libasyncns 0.8+3+g68cd5af-1
libatasmart 0.19-3
libatomic_ops 7.4.4-1
libavc1394 0.5.4-2
libbluray 0.9.3.r84.05c9fdec-1
libbonobo 2.32.1-4
libbonoboui 2.24.5-3
libbsd 0.8.3-1
libburn 1.4.6-1
libcaca 0.99.beta19-1
libcanberra 0.30-7
libcanberra-pulse 0.30-7
libcap 2.25-1
libcap-ng 0.7.8-1
libcdaudio 0.99.12.p2-1
libcddb 1.3.2-4
libcdio 0.94-2
libcdio-paranoia 10.2+0.93+1-2
libcdr 0.1.3-2
libcmis 0.5.1-5
libconfig 1.5-3
libcroco 0.6.11-1
libcue 2.1.0-1
libcups 2.2.2-1
libdaemon 0.14-3
libdatrie 0.2.10-1
libdbusmenu-glib 16.04.0-2
libdbusmenu-gtk3 16.04.0-2
libdbusmenu-qt4 0.9.3+16.04.20160218-1
libdbusmenu-qt5 0.9.3+16.04.20160218-1
libdc1394 2.2.4-1
libdca 0.0.5-4
libdiscid 0.6.1-2
libdmtx 0.7.4-5
libdmx 1.1.3-1
libdrm 2.4.74-1
libdv 1.0.0-6
libdvbpsi 1:1.3.0-1
libdvdnav 5.0.3-1
libdvdread 5.0.4-1
libe-book 0.1.2-6
libebml 1.3.4-1
libedit 20160903_3.1-1
libelf 0.168-1
libepoxy 1.3.1-1
libetonyek 0.1.6-1
libevdev 1.5.6-1
libevent 2.0.22-2
libexif 0.6.21-2
libexttextcat 3.4.4-1
libfbclient 2.5.6.27020-2
libffi 3.2.1-2
libfilezilla 0.9.0-1
libfm 1.2.5-1
libfm-extra 1.2.5-1
libfm-gtk2 1.2.5-1
libfontenc 1.1.3-1
libftdi 1.3-3
libgadu 1.12.1-3
libgcrypt 1.7.5-1
libgdiplus 4.2-1
libgee 0.18.1-1
libglade 2.6.4-5
libgme 0.6.1-1
libgnome 2.32.1-6
libgnome-data 2.32.1-6
libgnome-keyring 3.12.0-2
libgnome-sharp 2.24.2-4
libgnomecanvas 2.30.3-3
libgnomekbd 3.22.0.1-1
libgnomeui 2.24.5-2
libgpg-error 1.26-1
libgssglue 0.4-2
libgtop 2.34.1-1
libgudev 230-1
libical 2.0.0-2
libice 1.0.9-1
libid3tag 0.15.1b-8
libidl2 0.8.14-4
libidn 1.33-1
libiec61883 1.2.0-4
libimobiledevice 1.2.0-3
libindicator-gtk3 12.10.1-7
libinput 1.5.4-1
libisofs 1.4.6-1
libixion 0.11.1-5
libjpeg-turbo 1.5.1-1
libkate 0.4.1-5
libkdcraw 16.12.1-2
libkexiv2 16.12.1-1
libkeybinder2 0.3.1-1
libkeybinder3 0.3.1-1
libksba 1.3.4-2
liblangtag 0.6.2-1
libldap 2.4.44-3
liblqr 0.4.2-1
liblrdf 0.5.0-2
libmad 0.15.1b-7
libmariadbclient 10.1.21-1
libmatroska 1.4.5-1
libmikmod 3.3.9-1
libmm-glib 1.6.4-1
libmms 0.6.4-1
libmng 2.0.3-1
libmnl 1.0.4-1
libmodplug 0.8.8.5-2
libmp4v2 2.0.0-4
libmpc 1.0.3-2
libmpcdec 1:0.1+r475-1
libmpd 11.8.17-2
libmpeg2 0.5.1-5
libmspub 0.1.2-6
libmtp 1.1.12-1
libmwaw 0.3.9-1
libndp 1.6-1
libnewt 0.52.19-2
libnftnl 1.0.7-1
libnice 0.1.13+156+g1778f79-1
libnih 1.0.3-2
libnl 3.2.29-1
libnm-glib 1.4.4-1
libnotify 0.7.7-1
libodfgen 0.1.6-1
libofa 0.9.3-6
libogg 1.3.2-1
libomxil-bellagio 0.9.3-1
liborcus 0.11.2-5
libotf 0.9.13-2
libpagemaker 0.0.3-1
libpcap 1.8.1-2
libpciaccess 0.13.4-1
libpgm 5.2.122-2
libpipeline 1.4.1-1
libplist 1.12-5
libpng 1.6.28-1
libproxy 0.4.13-1
libpsl 0.16.1-1
libpulse 10.0-2
libpurple 2.11.0-2
libqalculate 0.9.10-3
libqzeitgeist 0.8.0-6
libraw 0.18.0-1
libraw1394 2.1.2-1
libreoffice-still 5.1.6-5
librevenge 0.0.4-1
librsvg 2:2.40.16-1
libsamplerate 0.1.9-1
libsasl 2.1.26-8
libseccomp 2.3.1-1
libsecret 0.18.5-1
libshout 1:2.4.1-2
libsigc++ 2.10.0-1
libsm 1.2.2-2
libsndfile 1.0.27-1
libsodium 1.0.11-1
libsoup 2.56.0-1
libsoxr 0.1.2-1
libspiro 1:0.5.20150702-1
libsrtp 1:1.5.4-1
libssh 0.7.3-2
libssh2 1.8.0-1
libsystemd 232-7
libtar 1.2.20-2
libtasn1 4.10-1
libteam 1.23-2
libthai 0.1.25-1
libtheora 1.1.1-3
libtiff 4.0.7-2
libtiger 0.3.4-4
libtinfo 6-14
libtinfo-5 5-10
libtirpc 1.0.1-2
libtool 2.4.6-7
libtorrent 0.13.6-2
libtorrent-rasterbar 1:1.1.1-6
libtxc_dxtn 1.0.1-6
libunique 1.1.6-6
libunistring 0.9.7-1
libunwind 1.1-3
libupnp 1.6.20-1
libusb 1.0.21-1
libusb-compat 0.1.5-1
libusbmuxd 1.0.10-1
libutempter 1.1.6-2
libutil-linux 2.29-2
libuv 1.10.2-1
libva 1.7.3-1
libvdpau 1.1.1-2
libvdpau-va-gl 0.4.2-1
libvisio 0.1.5-3
libvisual 0.4.0-6
libvoikko 4.0.2-2
libvorbis 1.3.5-1
libvpx 1.6.1-1
libwacom 0.22-1
libwbclient 4.5.4-1
libwebp 0.5.2-1
libwmf 0.2.8.4-14
libwnck 2.31.0-1
libwnck3 3.20.1-1
libwpd 0.10.1-1
libwpg 0.3.1-1
libwps 0.4.5-1
libx11 1.6.4-1
libx264 2:148.20160920-1
libxau 1.0.8-2
libxaw 1.0.13-1
libxcb 1.12-1
libxcomposite 0.4.4-2
libxcursor 1.1.14-2
libxdamage 1.1.4-2
libxdg-basedir 1.2.0-3
libxdmcp 1.1.2-1
libxext 1.3.3-1
libxfce4ui 4.12.1-2
libxfce4util 4.12.1-1
libxfixes 5.0.3-1
libxfont 1.5.2-1
libxfont2 2.0.1-1
libxft 2.3.2-1
libxi 1.7.8-1
libxinerama 1.1.3-2
libxkbcommon 0.7.1-1
libxkbcommon-x11 0.7.1-1
libxkbfile 1.0.9-1
libxklavier 5.4-1
libxml2 2.9.4+12+ge905f081-4
libxmu 1.1.2-1
libxp 1.0.3-1
libxpm 3.5.12-1
libxrandr 1.5.1-1
libxrender 0.9.10-1
libxres 1.0.7-1
libxshmfence 1.2-1
libxslt 1.1.29+23+geb1030d-1
libxss 1.2.2-2
libxt 1.1.5-1
libxtst 1.2.3-1
libxv 1.0.11-1
libxvmc 1.0.10-1
libxxf86dga 1.1.4-1
libxxf86vm 1.1.4-1
libyaml 0.1.7-1
libzip 1.1.3-1
licenses 20140629-1
lilv 0.22.0-2
linux 4.8.13-1
linux-api-headers 4.7-1
linux-firmware 20161005.9c71af9-1
lirc 1:0.9.4.c-4
llvm-libs 3.9.1-2
lm_sensors 3.4.0-2
lmdb 0.9.19-1
logrotate 3.11.0-1
lpsolve 5.5.2.5-1
lsb-release 1.4-14
lshw B.02.18-2
lsof 4.89-1
lua 5.3.3-2
lua-lgi 0.9.1-1
lua52 5.2.4-2
lv2 1.12.0-1
lvm2 2.02.168-1
lxappearance 0.6.2-1
lxappearance-obconf 0.2.3-1
lxc 1:2.0.6-3
lxde-common 0.99.2-1
lxde-icon-theme 0.5.1-3
lxdm 0.5.3-3
lxinput 0.3.5-1
lxlauncher 0.2.5-1
lxmenu-data 0.1.5-1
lxmusic 0.4.7-1
lxpanel 0.9.3-1
lxrandr 0.3.1-1
lxsession 1:0.5.3-1
lxtask 0.1.7-1
lxterminal 0.3.0-1
lynx 2.8.8-4
lz4 1:1.7.5-1
lzo 2.09-1
m17n-db 1.7.0-1
m17n-lib 1.7.0-1
m4 1.4.18-1
make 4.2.1-1
man-db 2.7.6.1-2
man-pages 4.09-1
mariadb 10.1.21-1
mariadb-clients 10.1.21-1
mdadm 3.4-1
media-player-info 22-2
meld 3.16.4-1
menda-themes-dark-git r91.2759ebc-1
menda-themes-git r91.2759ebc-1
menu-cache 1.0.2-1
mesa 13.0.3-1
mesa-demos 8.3.0-2
mesa-libgl 13.0.3-1
metacity 3.22.1-1
mime-types 9-1
minecraft latest-25
minicom 2.7-2
minizip 1:1.2.11-1
mirage 0.9.5.2-4
mjpegtools 2.1.0-3
mkinitcpio 22-1
mkinitcpio-busybox 1.25.1-1
mlocate 0.26-5
mobile-broadband-provider-info 20151214-1
mod_wsgi 4.4.22-1
mongochef 3.6.0-1
mono 4.6.1.3-1
mono-addins 1.1-1
monodevelop 5.10.1.6-2
mousepad 0.4.0-2
mozilla-common 1.4-4
mpdecimal 2.4.2-1
mpfr 3.1.5.p2-1
mpg123 1.23.8-1
mtdev 1.1.5-1
mtpfs 1.1-2
musicbrainz 2.1.5-7
mutt 1.7.2-1
nano 2.7.4-1
nasm 2.12.02-1
ncdu 1.12-1
ncurses 6.0+20161224-1
ncurses5-compat-libs 6.0-3
neon 0.30.2-1
net-tools 1.60.20160710git-1
netcdf 4.4.1-2
netctl 1.12-2
nethack 3.6.0-1
netkit-bsd-finger 0.17-9
nettle 3.3-1
networkmanager 1.4.4-1
nitrogen 1.6.0-2
nm-connection-editor 1.4.2-1
nmap 7.40-1
nodejs 7.4.0-1
noto-fonts 20170112-1
npth 1.3-1
nspr 4.13.1-1
nss 3.27.2-1
ntfs-3g 2016.2.22-1
ntp 4.2.8.p9-1
numix-themes-archblue-git 2.6.1.r21.d24e294-1
nvidia-340xx 340.101-4
nvidia-340xx-utils 340.101-1
obapps 0.1.7-5
obbrowser 0.06-1
obconf 2.0.4-4
obkey-git 1.0.28.gbb6b720-1
ocl-icd 2.2.10-1
openal 1.17.2-2
openbox 3.6.1-3
openbox-themes 1.0.2-3
opencore-amr 0.1.3-2
openexr 2.2.0-3
openjpeg 1.5.2-1
openjpeg2 2.1.2-2
openresolv 3.8.1-1
openslp 2.0.0-1
openssh 7.4p1-2
openssl 1.0.2.j-1
optipng 0.7.6-1
opus 1.1.4-1
orage 4.12.1-3
orbit2 2.14.19-3
orc 0.4.26-1
os-prober 1.71-1
oxygen-icons 1:5.30.0-1
p11-kit 0.23.2-1
p7zip 16.02-2
pacgraph 20110629-3
package-query 1.8-2
pacman 5.0.1-4
pacman-mirrorlist 20170106-1
pam 1.3.0-1
pambase 20130928-1
pango 1.40.3-1
pangomm 2.40.1-1
parted 3.2-5
patch 2.7.5-1
pavucontrol 3.0-4
pciutils 3.5.2-1
pcmanfm 1.2.5-1
pcmciautils 018-7
pcre 8.39-2
pcre2 10.22-2
pcsclite 1.8.20-1
perl 5.24.1-1
perl-bit-vector 7.4-3
perl-carp-clan 6.06-1
perl-class-accessor 0.34-4
perl-class-data-inheritable 0.08-6
perl-common-sense 3.74-1
perl-data-dump 1.23-1
perl-data-random 0.12-1
perl-date-calc 6.4-1
perl-digest-hmac 1.03-3
perl-digest-sha1 2.13-7
perl-encode-locale 1.05-1
perl-error 0.17024-1
perl-file-basedir 0.07-1
perl-file-desktopentry 0.22-1
perl-file-listing 6.04-2
perl-file-mimeinfo 0.28-1
perl-file-slurp-tiny 0.004-1
perl-gd 2.56-5
perl-html-parser 3.72-2
perl-html-tagset 3.20-4
perl-http-cookies 6.01-2
perl-http-daemon 6.01-2
perl-http-date 6.02-2
perl-http-message 6.11-2
perl-http-negotiate 6.01-2
perl-io-html 1.001-1
perl-io-socket-ssl 2.038-1
perl-io-string 1.08-9
perl-ipc-system-simple 1.25-1
perl-json 2.90-1
perl-libwww 6.15-1
perl-linux-desktopfiles 0.11-1
perl-lwp-mediatypes 6.02-2
perl-lwp-protocol-https 6.06-2
perl-mouse 2.4.7-1
perl-net-dropbox-api 1.9-3
perl-net-http 6.12-1
perl-net-oauth 0.28-4
perl-net-ssleay 1.78-1
perl-parse-yapp 1.05-6
perl-timedate 2.30-2
perl-uri 1.71-1
perl-www-robotrules 6.02-2
perl-xml-parser 2.44-3
perl-yaml-tiny 1.70-1
phonon-qt4 4.9.0-1
phonon-qt4-vlc 0.9.0-1
phonon-qt5 4.9.0-1
phonon-qt5-vlc 0.9.0-1
physfs 2.0.3-2
pidgin 2.11.0-2
pinentry 1.0.0-1
pixman 0.34.0-1
pkg-config 0.29.1-2
playonlinux 4.2.10-1
podofo 0.9.4-1
polkit 0.113-4
polkit-gnome 0.105-3
polkit-qt4 0.112.0+git20160226-1
polkit-qt5 0.112.0+git20160226-1
poppler 0.51.0-1
poppler-qt5 0.51.0-1
popt 1.16-8
portaudio 190600_20161030-1
portsmf 228-2
postgresql 9.6.1-3
postgresql-libs 9.6.1-3
postgresql-old-upgrade 9.5.5-1
prey-node-client 1.6.1-2
printproto 1.0.5-3
prison 5.30.0-1
procmail 3.22-7
procps-ng 3.3.12-1
protobuf 3.1.0-1
protobuf-c 1.2.1-4
psmisc 22.21-3
pulseaudio 10.0-2
pulseaudio-alsa 2-3
puppet 4.8.1-2
pycharm-community 2016.2.2-1
pygobject-devel 3.22.0-2
pygobject2-devel 2.28.6-13
pygtk 2.24.0-6
pyqt4-common 4.12-1
pyqt5-common 5.7.1-1
pyrex 0.9.9-4
python 3.6.0-2
python-appdirs 1.4.0-5
python-dbus 1.2.4-2
python-dbus-common 1.2.4-2
python-django 1.10.3-2
python-gobject 3.22.0-2
python-packaging 16.8-2
python-pip 9.0.1-2
python-pyinotify 0.9.6-3
python-pyparsing 2.1.10-2
python-setuptools 1:33.1.1-1
python-six 1.10.0-3
python-xdg 0.25-4
python-xlib 0.18-2
python2 2.7.13-1
python2-appdirs 1.4.0-5
python2-apsw 3.15.2-1
python2-cairo 1.10.0-2
python2-cffi 1.9.1-2
python2-chardet 2.3.0-3
python2-cherrypy 8.9.1-1
python2-click 6.7-1
python2-constantly 15.1.0-2
python2-crypto 2.6.1-5
python2-cryptography 1.7.1-2
python2-cssselect 1.0.1-1
python2-cssutils 1.0.1-2
python2-dateutil 2.6.0-2
python2-dbus 1.2.4-2
python2-dnspython 1.15.0-2
python2-ecdsa 0.13-3
python2-enum34 1.1.6-1
python2-gobject 3.22.0-2
python2-gobject2 2.28.6-13
python2-idna 2.2-2
python2-incremental 16.10.1-2
python2-ipaddress 1.0.18-1
python2-jinja 2.9.4-1
python2-jsonrpclib 0.1.7-1
python2-lxml 3.7.2-1
python2-markupsafe 0.23-4
python2-mechanize 0.2.5-4
python2-netifaces 0.10.5-2
python2-notify 0.1.1-13
python2-numpy 1.11.3-1
python2-olefile 0.43-2
python2-packaging 16.8-2
python2-paramiko 2.1.1-2
python2-pbkdf2 1.3-1
python2-pillow 4.0.0-2
python2-ply 3.9-2
python2-protobuf 3.1.0-1
